codigo,nome,cidade,estado,população,popAte9,popDe10a14,popDe15a19,popDe20a24,popDe25a34,popDe35a49,popDe50a59,popMaisDe60,domiciliosA1,domiciliosA2,domiciliosB1,domiciliosB2,domiciliosC1,domiciliosC2,domiciliosD,domiciliosE,rendaMedia,faturamento,potencial
3304557060,Abolição,Rio de Janeiro,RJ,11676.0,1027.0,483.0,688.0,800.0,1675.0,2300.0,1784.0,2919.0,0.0,145.0,715.0,1242.0,1093.0,758.0,92.0,304.0,2501.0,932515.0,Médio
3304557138,Acari,Rio de Janeiro,RJ,27564.0,5131.0,2188.0,2697.0,2630.0,4810.0,5308.0,2403.0,2397.0,0.0,0.0,82.0,506.0,2040.0,2490.0,827.0,2506.0,931.0,588833.0,Baixo
3304557057,Água Santa,Rio de Janeiro,RJ,9003.0,883.0,399.0,597.0,762.0,1755.0,2076.0,1112.0,1419.0,0.0,96.0,404.0,652.0,644.0,522.0,77.0,254.0,2391.0,874200.0,Baixo
3304557031,Alto Da Boa Vista,Rio de Janeiro,RJ,9606.0,1072.0,538.0,660.0,685.0,1317.0,2007.0,1341.0,1986.0,114.0,178.0,393.0,517.0,945.0,584.0,137.0,286.0,3727.0,912226.0,Médio
3304557125,Anchieta,Rio de Janeiro,RJ,57222.0,7677.0,3774.0,4892.0,4600.0,8660.0,12272.0,7157.0,8190.0,0.0,0.0,1089.0,2821.0,5110.0,5422.0,1073.0,3261.0,1380.0,553020.0,Médio
3304557034,Andaraí,Rio de Janeiro,RJ,40476.0,3528.0,1703.0,2564.0,2753.0,5993.0,8071.0,6022.0,9842.0,290.0,1245.0,3647.0,3321.0,3289.0,2419.0,304.0,1059.0,3443.0,1204467.0,Alto
3304557082,Anil,Rio de Janeiro,RJ,24855.0,2427.0,1227.0,1777.0,1804.0,3730.0,5573.0,3556.0,4761.0,355.0,759.0,1771.0,1863.0,1902.0,1155.0,326.0,424.0,3900.123042505593,1092081.0,Baixo
3304557115,Bancários,Rio de Janeiro,RJ,12864.0,1532.0,670.0,963.0,1076.0,2083.0,2829.0,1598.0,2113.0,0.0,82.0,491.0,750.0,1313.0,1177.0,172.0,352.0,1962.0,808554.0,Baixo
3304557099,Bangu,Rio de Janeiro,RJ,249987.0,32651.0,15949.0,20926.0,20146.0,37750.0,53090.0,31246.0,38229.0,0.0,496.0,5246.0,13274.0,24363.0,22447.0,4564.0,11109.0,1550.0,35465.0,Alto
3304557131,Barra Da Tijuca,Rio de Janeiro,RJ,139761.0,13038.0,5225.0,7432.0,8627.0,21914.0,32089.0,21058.0,30378.0,13408.0,11668.0,14820.0,5205.0,3437.0,1841.0,0.0,3897.0,18084.0,2915612.0,Alto
3304557143,Barra De Guaratiba,Rio de Janeiro,RJ,3678.0,384.0,205.0,306.0,297.0,520.0,824.0,501.0,641.0,0.0,0.0,92.0,220.0,360.0,225.0,76.0,270.0,1479.0,846531.0,Baixo
3304557139,Barros Filho,Rio de Janeiro,RJ,14446.0,2013.0,966.0,1283.0,1109.0,2137.0,3210.0,1726.0,2002.0,0.0,0.0,57.0,310.0,1243.0,1181.0,368.0,1711.0,895.0,746904.0,Baixo
3304557028,Benfica,Rio de Janeiro,RJ,25789.0,3340.0,1524.0,1848.0,2213.0,4614.0,5612.0,2905.0,3733.0,0.0,0.0,250.0,1250.0,2460.0,2430.0,414.0,1447.0,1294.0,662520.0,Baixo
3304557079,Bento Ribeiro,Rio de Janeiro,RJ,44941.0,4477.0,2275.0,3191.0,3198.0,6325.0,9378.0,6333.0,9764.0,0.0,353.0,1897.0,3213.0,4450.0,3726.0,521.0,1630.0,2048.0,856901.0,Alto
3304557037,Bonsucesso,Rio de Janeiro,RJ,19237.0,1795.0,854.0,1292.0,1347.0,2814.0,3917.0,2698.0,4520.0,0.0,0.0,957.0,1413.0,2519.0,1318.0,187.0,692.0,1944.0,851362.0,Médio
3304557014,Botafogo,Rio de Janeiro,RJ,85229.0,6278.0,2608.0,4410.0,5911.0,14697.0,18262.0,12026.0,21037.0,3669.0,5165.0,11669.0,6106.0,5289.0,3009.0,371.0,1853.0,8316.0,2211985.0,Alto
3304557042,Brás De Pina,Rio de Janeiro,RJ,60893.0,6812.0,3350.0,4778.0,4801.0,9037.0,12955.0,7746.0,11414.0,0.0,494.0,1716.0,3817.0,6026.0,4216.0,610.0,3385.0,1874.0,755073.0,Alto
3304557055,Cachambi,Rio de Janeiro,RJ,43591.0,3815.0,1905.0,2580.0,2874.0,6564.0,9626.0,6261.0,9966.0,146.0,690.0,3812.0,3957.0,3659.0,1882.0,233.0,1575.0,2963.0,1182272.0,Alto
3304557111,Cacuia,Rio de Janeiro,RJ,11325.0,1256.0,588.0,817.0,811.0,1775.0,2533.0,1456.0,2089.0,0.0,71.0,473.0,903.0,1161.0,712.0,120.0,558.0,2022.0,852714.0,Baixo
3304557004,Caju,Rio de Janeiro,RJ,21055.0,3368.0,1441.0,1771.0,2131.0,3565.0,4362.0,1927.0,2490.0,0.0,0.0,115.0,548.0,1956.0,2022.0,424.0,1810.0,1037.0,635348.0,Baixo
